Best Model!

EPOCH: 1], 	Validation Loss: 0.0880, 	Validation Accuracy: 97.93 %

EPOCH: 2], 	Validation Loss: 0.1503, 	Validation Accuracy: 95.43 %

EPOCH: 3], 	Validation Loss: 0.1238, 	Validation Accuracy: 96.17 %

EPOCH: 4], 	Validation Loss: 0.3320, 	Validation Accuracy: 90.80 %

EPOCH: 5], 	Validation Loss: 0.0801, 	Validation Accuracy: 97.23 %

EPOCH: 6], 	Validation Loss: 0.3569, 	Validation Accuracy: 95.59 %

EPOCH: 7], 	Validation Loss: 0.0972, 	Validation Accuracy: 97.07 %

EPOCH: 8], 	Validation Loss: 0.0970, 	Validation Accuracy: 97.02 %

EPOCH: 9], 	Validation Loss: 0.0917, 	Validation Accuracy: 95.96 %

EPOCH: 10], 	Validation Loss: 0.5274, 	Validation Accuracy: 84.68 %

------------------    Best Model at Epoch 1 Saved    ------------------

Test loss: 1.0321608219681808, Test acc: 80.77753779697625
